INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2011,95,2,,,,,,,2,7,20,35,21,12,3,,,,,,,,,
2011,96,,,,,,,,,,,,,,,,,,,,,,,
2011,97,1.5,,,,,,,,,,,,,,,,,,,,,,
2011,98,.6,,,5,7.5,10,15,20,17.5,12.5,7.5,5,,,,,,,,,,,
2011,99,1.5,,,,,,,10,15,60,10,5,,,,,,,,,,,
2011,101,1.8,,,,,,,20,30,40,10,,,,,,,,,,,,
2011,103,2.1,,,,,,2.5,5,15,30,35,10,2.5,,,,,,,,,,
2011,104,1.6,,,,,,,,20,40,30,10,,,,,,,,,,,
2011,105,1.7,,,,,,,,30,50,20,,,,,,,,,,,,
2011,106,1.8,,,,,,10,10,15,50,15,,,,,,,,,,,,
2011,107,1.7,,,,.03,.4,2.78,10.81,20.97,30.01,24.13,8.17,2.35,.32,.03,,,,,,,,
2011,108,2.4,,,,,,,,,25.53,41.63,27.22,5.62,,,,,,,,,,
2011Jun,1,2,,,,,,3,6,17,22,22,15,10,5,,,,,,,,,
2011Jun,7,1,,,,,,,,,,,,,,,,,,,,,,
2011Jun,8,1.6,,,,,1,3,12,23,26,18,12,5,,,,,,,,,,
2011Jun,14,1.8,,,,,,2,10,20,40,20,7,1,,,,,,,,,,
2011Jun,15,1.5,,,,,,10,15,30,35,5,5,,,,,,,,,,,
2011Jun,16,1.1,,,1,4,7,13,17,22,16,12,5,2,1,,,,,,,,,
2011Jun,19,1.5,,,,,,,,,,,,,,,,,,,,,,
2011Jun,20,1.5,,,,,,5,20,30,35,10,,,,,,,,,,,,
2011Jun,22,1.8,,,,,5,5,15,25,40,10,,,,,,,,,,,,
2011Jun,23,1.8,,,,,,5,10,15,23,20,15,10,2,,,,,,,,,
2011Jun,24,1.7,,,,,,,,10,30,30,20,10,,,,,,,,,,
2011Jun,29,,,,,,,,,50,30,20,,,,,,,,,,,,
2011Jun,30,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,31,2.2,,,,,,,,10,30,40,20,,,,,,,,,,,
2011Jun,32,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,33,1.5,,,,,,,20,30,30,20,,,,,,,,,,,,
2011Jun,35,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,36,,,,,,,,10,20,30,25,10,5,,,,,,,,,,
2011Jun,37,1.7,,,,,,,2,12,57,24,5,,,,,,,,,,,
2011Jun,38,1.9,,,,,,,,20,60,20,,,,,,,,,,,,
2011Jun,39,1.7,,,,,,,15,20,30,20,15,,,,,,,,,,,
2011Jun,40,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,41,1.8,,,,,,,,,,,,,,,,,,,,,,
2011Jun,42,1.9,,,,,,,,5,45,40,10,,,,,,,,,,,
2011Jun,47,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,48,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,52,.5,,,,,5,40,45,10,,,,,,,,,,,,,,
2011Jun,54,2.1,,,,,,,5,10,20,30,20,10,5,,,,,,,,,
2011Jun,57,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,63,1.6,,,,,,,,20,50,20,10,,,,,,,,,,,
2011Jun,70,1.3,,,,,,,35,55,10,,,,,,,,,,,,,
2011Jun,72,1.9,,,,,,,,,,,,,,,,,,,,,,
2011Jun,73,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,80,.5,,,,,,,,,,,,,,,,,,,,,,
2011Jun,82,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,84,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,85,.1,4.0059,3.8231,8.0365,12.1178,15.3981,16.4894,14.8801,11.3161,7.2523,3.9167,1.7825,.6835,.2209,.0771,,,,,,,,
2011Jun,88,1.9,,,,2.5,7.5,12.5,17.5,20,17.5,12.5,7.5,2.5,,,,,,,,,,
2011Jun,89,1.8,,,,,,5,15,30,35,10,5,,,,,,,,,,,
2011Jun,90,1.8,,,,,,,,10,60,30,,,,,,,,,,,,
2011Jun,93,2,,,,,,,,,40,55,5,,,,,,,,,,,
2011Jun,94,1.1,,,,2,4,8,26,30,18,6,4,2,,,,,,,,,,
2011Jun,95,1.9,,,,,,,6,12,30,24,15,10,3,,,,,,,,,
2011Jun,96,,,,,,,,,,,,,,,,,,,,,,,
2011Jun,97,1.5,,,,,,,,,,,,,,,,,,,,,,
2011Jun,98,.6,,,5,7.5,10,15,20,17.5,12.5,7.5,5,,,,,,,,,,,
2011Jun,99,1.5,,,,,,,10,15,60,10,5,,,,,,,,,,,
2011Jun,101,1.7,,,,,,,20,30,40,10,,,,,,,,,,,,
2011Jun,103,2,,,,,,2.5,5,15,30,35,10,2.5,,,,,,,,,,
2011Jun,104,1.7,,,,,,,10,20,40,20,10,,,,,,,,,,,
