INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2007Q4,3,3,,,,,,40,60,,,,,,
2007Q4,4,2.3,,,,,20,70,10,,,,,,
2007Q4,5,2,,,,5,25,40,25,5,,,,,
2007Q4,7,2,,,,,,,,,,,,,
2007Q4,8,2.2,,,,,15,45,25,15,,,,,
2007Q4,10,2.42459776012919,.0000620658619054915,.00250892727625684,.112163454693703,1.9074087797931,12.6822661923379,33.3337579260514,34.8766521231373,14.5311720679575,2.3955278705487,.15848059234238,,,
2007Q4,11,1.9,,,,,50,45,5,,,,,,
2007Q4,14,,,,,,,,,,,,,,
2007Q4,15,2.25,,,,10,25,30,25,10,,,,,
2007Q4,16,2,0,1,2,10,28,33,20,5,1,0,,,
2007Q4,19,1.5,,,,50,50,,,,,,,,
2007Q4,20,2.4,,,,,5,50,35,10,,,,,
2007Q4,22,2.1,0,0,0,0,35,55,10,,,,,,
2007Q4,23,1.6,,1,5,19,30,25,15,5,,,,,
2007Q4,24,1.8,,,,20,45,35,,,,,,,
2007Q4,26,2,,,5,15,30,30,15,5,,,,,
2007Q4,29,,,,,,,,,,,,,,
2007Q4,30,2.1,,,,,10,70,20,,,,,,
2007Q4,31,2.4,,,,5,10,45,35,5,,,,,
2007Q4,32,,,,2,12,22,30,24,10,,,,,
2007Q4,33,2.6,,,,,,40,60,,,,,,
2007Q4,36,2.7,,,,,5,40,50,5,,,,,
2007Q4,37,2.1,,,,,15,75,10,,,,,,
2007Q4,38,2,,,,,30,50,20,,,,,,
2007Q4,39,2.1,,,,,25,60,15,,,,,,
2007Q4,40,,,,,,,,,,,,,,
2007Q4,41,2.1,,,,,,,,,,,,,
2007Q4,42,2.1,,,,,25,60,15,,,,,,
2007Q4,45,,,,,,,,,,,,,,
2007Q4,47,1.7,0,2,5,13,35,23,17,5,0,,,,
2007Q4,48,2.4,0,0,0,0,5,40,50,5,0,,,,
2007Q4,52,1.8,,,,,80,20,,,,,,,
2007Q4,54,2.3,,,,,10,50,40,,,,,,
2007Q4,56,1.9,,,,5,55,35,5,,,,,,
2007Q4,57,,,,,,,,,,,,,,
2007Q4,58,,,,,,,,,,,,,,
2007Q4,59,2.1,,,,,20,50,25,5,,,,,
2007Q4,60,2.2,,,,,30,40,30,,,,,,
2007Q4,61,1.8,,,0,10,40,40,10,0,,,,,
2007Q4,62,2.1,,,,,25,60,15,,,,,,
2007Q4,67,,,,,,,,,,,,,,
2007Q4,68,2.1,1,3,5,7,20,32,17,8,5,2,,,
2007Q4,70,2.6,,,,,,40,60,,,,,,
2007Q4,72,2.5,,,,,,,,,,,,,
2007Q4,73,2.75,,,,,,,,,,,,,
2007Q4,76,,,,,,,,,,,,,,
2007Q4,80,2.1,,,,,,,,,,,,,
2007Q4,82,1.7,,,,15,55,30,,,,,,,
2007Q4,84,,,,,,,,,,,,,,
2007Q4,85,,,,,,,,,,,,,,
2007Q4,88,2.9,,,,,,10,40,40,10,,,,
2007Q4,90,2.1,0,0,0,0,30,70,0,0,0,0,,,
2007Q4,92,2.2,.00000812812,.00090327488,.097422697,2.7422059,20.91186,44.5508,26.9178,4.56530000000001,.211099999999997,.00259999999999705,,,
2007Q4,93,1.9,,,,,60,40,,,,,,,
2007Q4,94,2.3,,,,5,10,55,25,5,,,,,
2007Q4,95,1.9,0,0,0,2,37,42,16,3,0,0,,,
2007Q4,96,2.2,,,,5,20,60,15,,,,,,
2007Q4,97,2.2,2,5,5,10,15,27,17,11,5,3,,,
2007Q4,98,1.9,,,,5,50,35,10,,,,,,
2007Q4,99,2.3,,,,2.5,20,55,20,2.5,,,,,
2007Q4,100,2.2,,,,2.5,20,45,30,2.5,,,,,
2008,1,2.4,,,1,10,18,35,25,10,1,,,,
2008,2,2.8,,,,6,16,20,28,20,8,2,,,
2008,3,2.4,,,,,,70,30,,,,,,
2008,4,2.4,,,,,20,70,10,,,,,,
2008,5,2,,,,5,30,40,20,5,,,,,
2008,7,2.3,,,,,,,,,,,,,
2008,8,2.4,,,,,10,42,40,8,,,,,
2008,10,2.31537388701642,.101044470320577,.431681538986761,2.42417299436631,8.15690494907976,17.8708891489649,25.5072361468389,23.7238594318938,14.3777049161257,5.67576714510624,1.73073925831694,,,
2008,11,2.2,,,,5,40,50,5,,,,,,
