INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
2000,31,2.75,,,,,,22.2222222222,44.4444444444,33.3333333333,,
2000,32,2.6,,,,,10,35,45,10,,
2000,33,2.3,,,,,10,80,10,,,
2000,34,2.3,,,,,,60,40,,,
2000,35,2.5,,,,,,,,,,
2000,36,2.5,,,,,10,40,50,,,
2000,37,2.7,,,,,,20,70,10,,
2000,38,2.4,,,,,,90,10,,,
2000,39,2.7,,,,,,20,70,10,,
2000,41,2.8,,,,,,20,80,,,
2000,42,2.6,,,,,5,30,50,15,,
2000,45,3.2,,,,,,,80,20,,
2000,46,1.81,,1.05,1.05,33.15,33.15,15.75,15.75,.05,.05,
2000,47,2.4,,,,,15,70,15,,,
2000,48,2.7,,,,,,30,60,10,,
2000,52,2.5,,,,5,40,50,5,,,
2000,53,2.5,,,,,,25,75,,,
2000,54,3.1,,,,5,10,15,30,30,10,
2000,55,2.9,,.2002002002,1.1011011011,4.2042042042,10.8108108108,20.02002002,26.4264264264,23.2232232232,10.8108108108,3.2032032032
2000,56,2.5,,,,,,30,70,,,
2000,59,2.7,,,,,,40,60,,,
2000,62,2.7,,,,,,25,70,5,,
2000,63,2.6,,,,,10,30,50,10,,
2000,64,2.8,2,2,3,7,12,15,34,19,4,2
2000,65,2.5,,,,,,30,50,20,,
2000,67,2.4,,,,,15,70,15,,,
2000,70,3,,,,,,5,45,45,5,
2000,72,2.6,,,2,8,15,20,35,15,5,
2000,73,2.3,,,,25,25,50,,,,
2000,76,3,,,,,7.5,10,20,25,20,17.5
2000,85,2.2,,,,4,15,50,25,6,,
2000,87,2.7,,,,,5,25,50,20,,
2000,88,2.6,,,,5,15,25,45,10,,
2000,90,2.5,,,,,,5,90,5,,
2000,91,2.5,,.4,1.9,6.8,16.1,24.8,24.8,16.1,6.8,2.3
2000,93,2.7,,,,,15,20,40,25,,
2000,94,2.9,,,,,,25,75,,,
2000,95,2.6,,2.5252525253,2.5252525253,10.6060606061,10.6060606061,21.2121212121,21.2121212121,11.6161616162,11.6161616162,8.0808080808
2000Q1,1,2.3,,,,,30,50,20,,,
2000Q1,3,2.1,,,,10,30,40,20,,,
2000Q1,5,3.3,,,,,5,25,25,35,10,
2000Q1,7,2.3,,,,,,,,,,
2000Q1,9,2.1,,,,,10,70,20,,,
2000Q1,10,2.5,,,,,5,40,50,5,,
2000Q1,11,2.1,,,,,10,75,10,5,,
2000Q1,14,2.7,,,,,,10,80,10,,
2000Q1,16,2.7,,,,10,15,25,35,10,5,
2000Q1,19,2.2,,,,,25,75,,,,
2000Q1,20,2.2,,,,,10,75,15,,,
2000Q1,23,2.5,,,,,20,30,40,10,,
2000Q1,26,2.1,,,,10,20,40,20,10,,
2000Q1,28,2.1,,,,,25,50,25,,,
2000Q1,29,2.3,,,,,5,85,10,,,
2000Q1,31,2.6,,,,,,,27.7777777778,50,22.2222222222,
2000Q1,32,2.4,,,,,15,50,30,5,,
2000Q1,33,2.3,,,,,10,80,10,,,
2000Q1,34,2.4,,,,,,60,40,,,
2000Q1,35,2.5,,,,10,25,40,25,,,
2000Q1,36,2.2,,,,,20,60,20,,,
2000Q1,37,2.2,,,,,,50,50,,,
2000Q1,38,2.2,,,,,,90,10,,,
2000Q1,39,2.7,,,,,5,15,65,15,,
2000Q1,41,2.6,,,,,,20,80,,,
2000Q1,42,2.4,,,,,5,70,25,,,
2000Q1,45,,,,,,,,,,,
2000Q1,46,1.73,,.4,.4,40.3,40.3,9.3,9.3,,,
2000Q1,47,,,,,,,,,,,
2000Q1,48,2.6,,,,,,30,60,10,,
2000Q1,52,2.5,,,,,10,70,20,,,
2000Q1,53,2.2,,,,,10,60,30,,,
2000Q1,54,3,,,,5,10,20,35,25,5,
2000Q1,55,2.6,.2002002002,.7007007007,2.8028028028,8.1081081081,16.5165165165,24.5245245245,26.026026026,15.3153153153,4.9049049049,.9009009009
2000Q1,56,2.3,,,,,,70,30,,,
