INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2014,39,1.9,,,,,5,15,60,15,5,,,,,,,,,,
2014,41,1.7,,,,,,20,60,20,,,,,,,,,,,
2014,42,1.9,,,,,5,10,40,35,10,,,,,,,,,,
2014,47,1.9,0,3,5,8,10,12,20,20,15,4,3,0,,,,,,,
2014,48,,,,,,,,,,,,,,,,,,,,
2014,52,1.5,0,0,0,1,6,39,42,11,1,0,0,0,,,,,,,
2014,56,1.9,0,0,0,0,0,15,70,15,0,0,0,0,,,,,,,
2014,57,2,,,,,,,,,,,,,,,,,,,
2014,58,.6,,,,,,,,,,,,,,,,,,,
2014,67,2.5,,,,,,5,10,20,30,20,10,5,,,,,,,
2014,68,1.6,,,,0,15,20,30,25,10,,,,,,,,,,
2014,70,1.5,,,,,,10,65,25,,,,,,,,,,,
2014,82,,,,,,,,,,,,,,,,,,,,
2014,84,1.9,0,0,0,1,8,17,26,25,15,6,1,1,,,,,,,
2014,85,1.4693916318,.1252181898,.6202393132,2.4966626941,7.1755184062,14.7293147238,21.599807056,22.6313968359,16.9423606741,9.0613921586,3.4616607722,.9443007239,.2121284522,,,,,,,
2014,88,1.8,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2014,89,1.9,0,0,0,2.5,7.5,15,25,25,15,7.5,2.5,0,,,,,,,
2014,92,1.9,.0070189474,.0743277779,.5492047888,2.6718079514,8.5651126071,15.8646161422,24.884950228,25.8410638702,13.1406440786,6.3089258157,1.7366792159,.3556485768,,,,,,,
2014,93,1.9,,,,,,2.5,62.5,35,,,,,,,,,,,
2014,94,2.2,,,,2,6,12,15,30,18,10,5,2,,,,,,,
2014,95,1.8512169312,0,.5291005291,1.1164021164,2.5291005291,7.7619047619,17.6984126984,29.0476190477,18.8624338624,13.9894179894,5.291005291,2.1164021164,1.0582010582,,,,,,,
