INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,
2001Q1,45,3.3,0,0,0,0,0,.03,10.01,70.27,19.55,.14,0,0
2001Q1,46,4.19,.01,.03,.15,.53,1.59,3.86,7.68,12.48,16.55,17.93,15.87,23.32
2001Q1,48,3.5,0,0,0,0,0,0,10,40,40,10,0,0
2001Q1,53,3.2,0,0,0,0,0,0,10,75,15,0,0,0
2001Q1,54,3.8,0,0,0,0,0,0,10,30,50,10,0,0
2001Q1,55,3.2,0,0,0,.4004004,2.8028028,12.11211211,27.92792793,34.03403403,18.51851852,3.9039039,.3003003,0
2001Q1,56,3.4,0,0,0,0,0,0,10,60,30,0,0,0
2001Q1,57,,,,,,,,,,,,,
2001Q1,59,3.3,0,0,0,0,0,10,30,30,20,10,0,0
2001Q1,64,3.2,0,1,1,3,5,10,20,30,25,3,1,1
2001Q1,67,3,0,0,0,0,0,0,20,80,0,0,0,0
2001Q1,70,3.6,0,0,0,0,0,0,5,40,40,15,0,0
2001Q1,71,3.3,0,0,0,0,5,10,20,30,20,10,5,0
2001Q1,72,3.2,0,0,0,1,5,12,25,30,15,8,3,1
2001Q1,73,3.5,0,0,0,0,0,0,0,20,80,0,0,0
